Nc3,Nf6, Nb5,Kd8, Bc3,Qxa1, Qxa1,Be6, Bxe6,fxe6, Bxf6,exf6, O-O,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
exf6,Qxf6, Nb3,Rac8, Bg5,Bxh2+, Kxh2,Ne5, dxe5,Rc1, Rxc1,Qd8, Bxd8,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
a3,Nc6, Nb3,Bd7, Bg5,Bh2+, Kxh2,Qd8, Bxd8,Raxd8, Nc5,b6, Nxd7,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
Rc1,Bxf2+, Kh1,Be2, Qc8+,Qd8, Bxd8,Rxc8, Rxc8,f6, Bxf6+,Kf7, Bh4,{Black resigns} 1-0
Qb3,Nd6, Qd5,Rd8, e5,Rd7, exd6,g6, Qxc5,Kg7, Kf2,Kf6, Kf3,{Black resigns} 1-0
Rh6,d5, exd5,Bf5, Re1,Be4, Qxf6,Qxf6+, Rxf6,O-O-O, Rxe4,Rd7, Ref4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qxg5, Nxg5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Bxf2+, Kxf2,Qxf6, Bg5,Qd8, Bxd8,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
cxd5,Nd4, Nxd4,Bxd4, dxe6,fxe6, Nf3,Bc5, b4,Bxf2+, Kxf2,a5, b5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,d5, Bg5,Qf4, Bxf4,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bc5, b4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,Bb4, exf6,Qxf6, O-O,d5, a3,Bd6, Nxc4,Bf4, Bxf4,{Black resigns} 1-0
O-O,Qf4, Nb3,Qf6, Bg5,Nc3, bxc3,Be5, dxe5,Qd8, Bxd8,Rxd8, Nbd4,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
exf6,Qxf6, O-O,Bd6, Nb3,g6, Bg5,Qg7, Qd2,b6, Bh6,Qf6, Bxf8,{Black resigns} 1-0
exf6,Qxf6, Nb3,Rac8, Bg5,Bxh2+, Kxh2,Qg6, Bxg6,fxg6, Bd2,Rf5, Nc5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
Qb7,Rh7, b4,Bh6, b5,Kc4, bxc6,e4, c7,Rh8, c8=Q+,Rxc8, Qxc8+,{Black resigns} 1-0
Ne7,Re8, Nxf5,Qb6, Rg7,Qxf2+, Kxf2,Rxf5+, Ke3,Rf3+, Ke4,Rf4+, Kd5,{Black resigns} 1-0
Kc2,e2, b8=Q,e1=Q, Qf8+,Ke5, Re7+,Kd5, Rxe1,Rxe1, Qxf4,Ke6, Kd2,{Black resigns} 1-0
Kg1,Kd4, c6,g5, c7,Ke3, c8=Q,Rd2, Qc5+,Kf4, Re1,Kg3, Kh1,{Black resigns} 1-0
d4,Qh4, g3,Nxd4, cxd4,Qh3, dxc5,Re8, Qg2,Qxg2+, Kxg2,b5, Ncd2,{Black resigns} 1-0
bxa4,bxa4, Bc2,Kf6, Kxh6,Ke6, Kxg5,Kd5, Bxa4,d3, f4,d2, f5,{Black resigns} 1-0
gxh4,Kc4, Ng3,d4+, cxd4,b5, Nxh5,Kd5, Nf4+,Kd6, Ke4,b4, Kf5,{Black resigns} 1-0
Ne5,Nxe5, fxe5,Bxe5, dxe5,g5, exf6,Qd6, Bf2,Qe5, Be1,Bb5, Bxb5,{Black resigns} 1-0
Ne5,Nxe5, fxe5,Nxc3, bxc3,Qg5, exd6,cxd6, Nf3,Qg4, h3,Qh5, Kh2,{Black resigns} 1-0
dxe5,Qc5, Bxf6+,Kg8, Nb3,Qd5, e4,Qxb3, Qd2,d6, Qh6,Qxb2, Qg7#,{Black checkmated} 1-0
Kxh5,Kf5, Kh6,d4, h5,Ke4, Kg7,b5, h6,Kd3, Bg5,Ke4, h7,{Black resigns} 1-0
Nh2,Qg5, Ng4,Qf5, Rf3,Qe4, Rxf7,Rg7, Rxg7,h5, Rxb7,Qf5, Qxf5,{Black resigns} 1-0
Rf2,Rh4, g3,Bxg3, hxg3,Rxg3+, Rg2,Rxg2+, Kxg2,Rg4+, Kf1,h4, f7,{Black resigns} 1-0
Ne5,Nxe5, fxe5,Bxe5, dxe5,Bb5, Bxb5,Rad8, Bxf6,Qc5, Bxd8,Rxd8, Nb3,{Black resigns} 1-0
Ra5,Kb6, Ra8,Kc5, Kd3,Kd6, Kc4,Ke5, Kxb4,Kf5, Kxa3,Kg4, Rh8,{Black resigns} 1-0
Qc2+,Kf6, Kg3,Re7, Qc3+,Kf5, Qxa5+,Re5, Qd8,Re3+, Kf2,Re6, Qg5+,{Black resigns} 1-0
Qe3,Ng4, Qg3,Qd7, h3,h5, hxg4,hxg4, Re1,f5, Qh4,Rf8, Qg5+,{Black resigns} 1-0
Be2,Nf5, Bc3,Nxe3, Kxe3,Re8, Kf2,Bd7, Qxd5,exd5, Rad1,d4, Bb2,{Black resigns} 1-0
Bg7+,Kg8, Qh4,Qd7, Qh6,Bxd5, Nxd5,Rad8, Bf8,Qxh3+, gxh3,Rxf8, Qg7#,{Black checkmated} 1-0
c5,Ke6, c6,Kd6, Kb6,g4, fxg4,f5, gxf5,Ke5, c7,Kxf5, c8=Q+,{Black resigns} 1-0
axb6,cxb6, b5,Nb4, Rxd4,Qe5, Rxb4,Qc5, Bd4,Qxb4, Bxe3,Qxb5, Bxb6,{Black resigns} 1-0
c5,dxc5, dxc5,Nxh2, Nxh2,Nxb4, axb4,Bxc5, bxc5,Qh4, Qe4,Qf6, Bb2,{Black resigns} 1-0
Nxd4,exd4, Bb4,Nxe4, c6,d3, Bxd3,Nd6, cxd7,Rxd7, Nc5,Rdd8, Nxb7,{Black resigns} 1-0
Kxd1,Kc5, a5,Kb4, a6,Kc4, a7,e5, a8=Q,f6, Qg8+,Kc5, Qxg7,{Black resigns} 1-0
Rc1,Kd5, Kg6,Ke4, f5,Kd5, f6,Ke6, f7,Kd5, f8=Q,Kc4, Qc8+,{Black resigns} 1-0
gxf4,bxa5, Rxc5,Rxc5, Rxc5,a4, Ra5,a3, Rxa3,Kf5, Rxa6,h6, h3,{Black resigns} 1-0
Qxc4,bxc3, bxc3,Na5, Qxa6,Bxa4, Qxa5,Bxg3, Nxg3,Qh4, Qc7+,Kg6, Rg1,{Black resigns} 1-0
Be2,exf3, Bxf3,Bh2+, Kxh2,Ng4+, Bxg4,Qd5, Bf3,Qd6+, Kg1,Qe6, Bf4,{Black resigns} 1-0
Bd7,Kf6, Kb5,Ke7, Bg4,Kd6, Kxa5,Kc5, Ka6,Kd5, a5,Kd4, Kb7,{Black resigns} 1-0
c6,Bxc6, Rxc6,a1=Q+, Kh2,Qf1, Qc5,e5, Rc8,Ng4+, hxg4,Qg8, Nf7#,{Black checkmated} 1-0
f5,Kc8, f6,Nxd4, cxd4,Kd8, f7,Qxc1+, Kxc1,Kc8, f8=Q+,Kb7, Qfe7,{Black resigns} 1-0
Rxf7,Rxd4, Rf6,Kd5, g6,Kc6, g7,Rd8, Rf8,Rd2, g8=Q,Rd6, Re8,{Black resigns} 1-0
Kg5,Bd2+, Kg6,Ba5, h6,Bc3, Bxb6,Bh8, Bxc5,Be5, Bf8,Bxh2, h7,{Black resigns} 1-0
Kxh5,Kf6, Kxg4,Ke5, b6,cxb6, cxb6,Kd6, b7,Kc7, f6,Kxb7, f7,{Black resigns} 1-0
Nxd5,Reg8, Rg1,c6, Nf6,Qe6, Nxg8,Rxg8, b3,d5, Rad1,dxe4, Qxe4,{Black resigns} 1-0
Qxg4,Rxb2, exd6,Bxd6, Qg7,Be5, Bxe5,Rh7, Qxh7,Rb4, Qg8+,Kd7, Qxf7+,{Black resigns} 1-0
d4,gxf3, Qxf3,Bxd4+, Kh1,Be5, Bxf4,Bxb2, Bg5,Qxg5, Qxf7+,Kd8, Qf8#,{Black checkmated} 1-0
Nxd4,Nf6, exf6,Qb4+, Nc3,gxf6, Bb5+,Bd7, Bxd7+,Kxd7, O-O,Ke8, Re1,{Black resigns} 1-0
Ra8+,Kd7, Rxd8+,Kxd8, Ba3,Nxf4, Bxe7+,Qxe7, Qxg8+,Kd7, Qg4,f5, Qxf4,{Black resigns} 1-0
Qe2,Rfe8, Re1,Kg7, Rxe6,Rxe6, Qxe6,Rf8, Qxf7+,Rxf7, Re5,f4, Rxd5,{Black resigns} 1-0
Bc4,Qg4, Bxa6,Rf5, Rfe1,Rxe1+, Rxe1,Rf8, Qe3,c6, Bd3,a5, Qe4,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qxg5, Nxg5,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Qf4, Bxf4,{Black resigns} 1-0
Bf1,Kh8, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Qg4,e6, Nb3,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
Bc2,Nxd4, cxd4,c3, bxc3,Bc7, exf6,Qxf6, Nb3,Bd7, Bg5,Ba5, Nxa5,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Bxf2+, Kxf2,Qxf6, Bg5,Qd8, Bxd8,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qd8, Bxd8,{Black resigns} 1-0
e4,Be6, d5,Nxd5, cxd5,Bxh3, gxh3,Nd4, Nxd4,Bxd4, Nf3,Bf6, Kg2,{Black resigns} 1-0
e5,Nxe5, dxe5,Bxf3, Nxf3,Bc5, exf6,Qxf6, Bg5,Bxf2+, Kxf2,Qxg5, Nxg5,{Black resigns} 1-0
