Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
Abuyen(C), 2312, 117.0, 3130, 679, 427, 4236
Aggravating, 1399, 137.9, 23101, 17457, 3535, 44093
AIchess(C), 2057, 164.6, 4284, 776, 360, 5420
AliceC, 1959, 165.3, 10166, 2166, 634, 12966
Almere(C), 2350, 65.2, 1115, 759, 220, 2094
AlmondX(C), 2451, 90.2, 332, 137, 57, 526
amyan, 2233, 171.2, 527, 221, 94, 842
Angledust(C), 2745, 131.7, 109, 17, 52, 178
Annoying, 1515, 133.0, 25677, 11652, 4353, 41682
Arandora(C), 2265, 181.6, 447, 41, 22, 510
ArasanX(C), 2319, 28.1, 4801, 1905, 825, 7531
ARChess(C), 2112, 81.1, 784, 53, 27, 864
AuraBlue(C), 1451, 149.2, 58, 54, 6, 118
Azkikr(C), 2670, 60.8, 255, 70, 81, 406
babylonbot(C), 1463, 172.3, 132, 42, 16, 190
BabyLurking(C), 1273, 13.9, 88918, 65488, 12873, 167279
BertaCCT(C), 2230, 68.7, 740, 101, 53, 894
BibiCherry, 2514, 141.9, 51, 19, 6, 76
BigDaddy(C), 2985, 33.5, 358, 33, 103, 494
BigMomma(C), 2840, 66.6, 127, 12, 89, 228
birdcostello(C), 2544, 65.1, 173, 8, 7, 188
bistromath(C), 2185, 28.4, 20612, 1614, 968, 23194
BlackDemon(C), 2636, 41.6, 797, 74, 108, 979
blik(C), 2129, 22.9, 142827, 29495, 16060, 188382
bobbyfischer, 2229, 254.7, 10252, 2227, 745, 13224
BotTheBaron(C), 2393, 57.7, 85, 65, 45, 195
BremboCE(C), 2100, 123.3, 4820, 658, 355, 5833
brutuschess, 2428, 164.7, 5, 20, 2, 27
BugZH(C), 2419, 173.8, 3901, 572, 183, 4656
ButcherX, 2053, 203.9, 2419, 178, 75, 2672
callipygian(C), 1728, 75.6, 104021, 63982, 14327, 182330
cchess(C), 2864, 77.7, 37, 2, 7, 46
ChangeIsComing(C), 2394, 69.0, 700, 41, 30, 771
ChaosBunny, 2054, 126.9, 907, 45, 7, 959
ChessComputer, 2492, 182.8, 193, 161, 124, 478
ChessplayingBot(C), 1996, 249.3, 3, 0, 0, 3
ChessPlusPlus(C), 2084, 100.2, 12018, 6011, 1917, 19946
ChessSystemTalII, 2203, 350.0, 16, 9, 2, 27
ChessTraining(C), 1939, 84.7, 1398, 358, 181, 1937
chirpy(C), 2926, 93.5, 1254, 926, 622, 2802
ClockSpeed, 2844, 138.2, 420, 39, 101, 560
codpiece(C), 1792, 13.6, 61712, 23432, 6108, 91252
Compi(C), 2657, 99.6, 1091, 149, 126, 1366
CompMachine, 2691, 205.1, 821, 1105, 723, 2649
Compucheck(C), 2481, 72.2, 3034, 4308, 2214, 9556
crafty(C), 2558, 116.1, 746, 280, 294, 1320
CrazyBeukiBot(C), 1999, 211.1, 598, 148, 34, 780
Dampfwalze, 2751, 156.2, 376, 25, 80, 481
danasah, 2215, 177.2, 574, 31, 22, 627
DayDreamerX(C), 2357, 121.3, 164, 49, 29, 242
DeepJunior(C), 2484, 129.5, 61, 7, 11, 79
DeepNightmare(C), 2604, 73.9, 1104, 310, 284, 1698
DeepSjeng(C), 2664, 140.0, 396, 96, 151, 643
DemolitionChess(C), 2637, 53.6, 256, 217, 187, 660
DeuteriumCCT(C), 2296, 117.2, 53, 4, 4, 61
diep, 2231, 305.9, 5370, 752, 401, 6523
DirtyChess(C), 2159, 125.4, 248, 34, 23, 305
donkeyfactory(C), 2364, 31.1, 21360, 2675, 1175, 25210
DoodleBugs, 2270, 145.5, 2201, 57, 32, 2290
DSJeng(C), 2618, 46.1, 48, 36, 57, 141
EJD(C), 2803, 98.5, 2185, 260, 728, 3173
ElMejor(C), 2789, 51.3, 552, 166, 327, 1045
EvilSilicon, 2689, 350.0, 245, 116, 170, 531
Exasperating, 1326, 129.4, 2301, 1979, 290, 4570
exeComp(C), 2509, 86.4, 1187, 41, 52, 1280
Faile, 2344, 218.2, 229, 73, 29, 331
FirstCore(C), 2502, 102.5, 252, 48, 25, 325
fjjvh(C), 399, 72.3, 5212, 29377, 2127, 36716
Gaviota(C), 2378, 105.8, 147, 130, 40, 317
GeidiPrime(C), 2387, 145.1, 5, 4, 4, 13
GlaurungC(C), 2533, 94.9, 749, 313, 136, 1198
GnuCheese(C), 2202, 29.8, 4299, 2254, 1081, 7634
GoldBarMM(C), 2305, 58.0, 543, 159, 126, 828
GreatPumpkin(C), 2582, 283.6, 27, 4, 7, 38
GriffyJr(C), 1844, 24.9, 201815, 54153, 26494, 282462
GriffySr(C), 1944, 24.5, 215007, 26223, 19087, 260317
HangarEighteen, 2223, 147.4, 412, 9, 3, 424
Hannibal, 2593, 146.1, 46, 5, 7, 58
Hephasto(C), 2810, 149.8, 522, 16, 45, 583
HeraclesZ, 1999, 164.2, 1411, 435, 125, 1971
Hiarcs, 2628, 178.2, 9, 1, 4, 14
Horsian(C), 2544, 51.9, 470, 110, 94, 674
Humpers(C), 1655, 58.7, 1345, 878, 179, 2402
Hutnik(C), 2432, 43.8, 4011, 668, 436, 5115
IBlitz, 1748, 350.0, 2, 0, 0, 2
IFDThor(C), 1583, 12.2, 183808, 111151, 21091, 316050
IkarusX(C), 2430, 195.3, 67, 71, 29, 167
inemuri(C), 1381, 11.3, 368571, 207552, 54321, 630444
Ingoc(C), 2648, 43.1, 179, 67, 68, 314
