Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
Abuyen(C), 2312, 117.8, 3130, 679, 427, 4236
Aggravating, 1399, 138.6, 23101, 17457, 3535, 44093
AIchess(C), 2057, 165.2, 4284, 776, 360, 5420
AliceC, 1959, 165.8, 10166, 2166, 634, 12966
Almere(C), 2350, 66.6, 1115, 759, 220, 2094
AlmondX(C), 2451, 91.1, 332, 137, 57, 526
amyan, 2233, 171.7, 527, 221, 94, 842
Angledust(C), 2745, 132.4, 109, 17, 52, 178
Annoying, 1515, 133.7, 25677, 11652, 4353, 41682
Arandora(C), 2265, 182.1, 447, 41, 22, 510
ArasanX(C), 2350, 29.7, 4827, 1909, 829, 7565
ARChess(C), 2112, 82.2, 784, 53, 27, 864
AuraBlue(C), 1451, 149.8, 58, 54, 6, 118
Azkikr(C), 2670, 62.3, 255, 70, 81, 406
babylonbot(C), 1463, 172.8, 132, 42, 16, 190
BabyLurking(C), 1202, 14.0, 89327, 65788, 12908, 168023
BertaCCT(C), 2230, 70.1, 740, 101, 53, 894
BibiCherry, 2514, 142.6, 51, 19, 6, 76
BigDaddy(C), 2903, 31.5, 386, 37, 129, 552
BigMomma(C), 2844, 67.3, 128, 12, 89, 229
BlackDemon(C), 2636, 43.8, 797, 74, 108, 979
blik(C), 2103, 23.8, 142925, 29512, 16076, 188513
bobbyfischer, 2229, 255.1, 10252, 2227, 745, 13224
BotTheBaron(C), 2393, 59.3, 85, 65, 45, 195
BremboCE(C), 2100, 124.1, 4820, 658, 355, 5833
brutuschess, 2428, 165.2, 5, 20, 2, 27
BugZH(C), 2419, 174.3, 3901, 572, 183, 4656
ButcherX, 2053, 204.4, 2419, 178, 75, 2672
callipygian(C), 1728, 76.8, 104021, 63982, 14327, 182330
cchess(C), 2864, 78.9, 37, 2, 7, 46
ChangeIsComing(C), 2394, 70.3, 700, 41, 30, 771
ChaosBunny, 2054, 127.7, 907, 45, 7, 959
ChessComputer, 2492, 183.4, 193, 161, 124, 478
ChessPlusPlus(C), 2084, 101.2, 12018, 6011, 1917, 19946
ChessSystemTalII, 2203, 350.0, 16, 9, 2, 27
ChessTraining(C), 1939, 85.9, 1398, 358, 181, 1937
chirpy(C), 2926, 94.5, 1254, 926, 622, 2802
ClockSpeed, 2844, 138.9, 420, 39, 101, 560
codpiece(C), 1788, 14.5, 62278, 23615, 6159, 92052
