Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
Abatwa, 1023, 24.1, 1207, 2030, 59, 3296
abdragan, 1215, 37.2, 5938, 5514, 250, 11702
abrik, 1587, 32.1, 9954, 6599, 464, 17017
Accugroove, 869, 46.8, 27, 69, 2, 98
achtpuntzes, 1142, 28.7, 2636, 1559, 71, 4266
adakeep, 1432, 31.3, 1899, 1870, 157, 3926
adder, 1513, 28.3, 16399, 15822, 2248, 34469
addictinsane, 1549, 32.1, 6828, 4787, 319, 11934
adelaty, 871, 67.1, 9, 68, 1, 78
Adlet, 1733, 29.0, 815, 920, 81, 1816
adv, 1729, 61.2, 3485, 2804, 303, 6592
AFalcon, 1141, 62.1, 4213, 6583, 348, 11144
AFCERGY, 1461, 18.6, 14128, 9964, 1933, 26025
afeemomo, 1313, 28.2, 634, 1132, 46, 1812
afraj, 1130, 35.9, 1217, 1489, 84, 2790
Aggresivation, 1100, 53.0, 112, 169, 6, 287
agoraphobia, 1921, 22.0, 3496, 4097, 467, 8060
agrraja, 733, 41.8, 38, 152, 2, 192
AGtrader, 1837, 24.9, 798, 771, 71, 1640
ahattar, 1182, 26.9, 8183, 7905, 518, 16606
AhmedFayz, 1560, 18.9, 5148, 5811, 394, 11353
ahphong, 1565, 31.0, 3569, 1622, 129, 5320
aigren, 1528, 19.1, 2767, 4447, 345, 7559
ajedrezazteca, 1272, 54.7, 390, 490, 39, 919
akalamkam, 1601, 24.9, 1376, 1470, 114, 2960
AKIKO, 1456, 24.9, 758, 531, 42, 1331
akots, 1823, 25.1, 7337, 8041, 1314, 16692
Akujit, 1376, 34.1, 5453, 5129, 413, 10995
akuo, 1399, 70.5, 4596, 4634, 277, 9507
alank, 1436, 34.7, 11258, 7610, 1151, 20019
albag, 1326, 36.6, 441, 236, 25, 702
albertking, 1238, 61.7, 155, 199, 12, 366
albertokeizer, 1192, 34.2, 95, 97, 10, 202
alcam, 1837, 51.8, 1165, 1365, 85, 2615
Alcantrix, 1623, 42.5, 751, 361, 49, 1161
alechinfanous, 1505, 56.0, 80, 72, 15, 167
Alecs, 1838, 27.3, 8593, 10178, 1007, 19778
alekhinecapablanc, 1587, 42.4, 1598, 2546, 172, 4316
AlekhineDeepSix, 1292, 28.5, 388, 916, 25, 1329
aleksv, 1147, 48.3, 416, 860, 9, 1285
aleshakkk, 1430, 22.6, 11081, 21300, 1618, 33999
AlexanderQ, 1066, 42.9, 409, 704, 17, 1130
AlexBaban, 1641, 50.9, 6713, 8395, 362, 15470
alexe, 1359, 24.2, 9147, 7422, 424, 16993
alexradulescu, 1291, 32.5, 2040, 2898, 320, 5258
alfredisimo, 1283, 21.9, 6961, 5595, 471, 13027
alho, 1371, 28.7, 3394, 2960, 148, 6502
AlienFever, 1009, 31.7, 1267, 1128, 43, 2438
AlienKing, 1443, 37.0, 1111, 858, 104, 2073
alipax, 1213, 51.0, 1236, 1124, 62, 2422
alja, 1268, 29.6, 5215, 5780, 263, 11258
allallright, 1639, 32.6, 237, 255, 23, 515
allencox, 1116, 34.3, 466, 583, 41, 1090
Allenko, 1219, 17.5, 650, 1226, 41, 1917
alligner, 1354, 27.6, 729, 657, 50, 1436
almcr, 1207, 46.8, 2389, 2054, 292, 4735
alokdk, 1304, 39.3, 3186, 5450, 291, 8927
alonm, 1996, 29.4, 12591, 9618, 1377, 23586
Alquinte, 1117, 26.7, 2469, 2666, 121, 5256
Alvenko, 1872, 36.7, 404, 300, 63, 767
Alvruocnar, 1654, 26.0, 4779, 4450, 840, 10069
Alwis, 1293, 50.2, 310, 304, 27, 641
alxsb, 1615, 22.3, 9951, 11655, 1317, 22923
