Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
aaas, 1400, 257.4, 1, 2, 0, 3
Aaashhh, 1150, 52.5, 104, 211, 8, 323
aacash, 1516, 26.9, 1982, 1312, 111, 3405
aadithya, 801, 116.8, 28, 198, 8, 234
aadroem, 1565, 51.7, 3491, 2702, 510, 6703
Aakashozha, 1073, 93.2, 7, 82, 2, 91
Aakiba, 1939, 82.3, 657, 403, 89, 1149
aalmeida, 1396, 42.1, 3283, 1890, 248, 5421
aam, 1788, 32.8, 325, 436, 39, 800
Aamaad, 1405, 30.9, 378, 240, 21, 639
aamm, 1305, 67.7, 581, 149, 31, 761
aandis, 968, 95.7, 29, 78, 2, 109
AAndreevBUL, 944, 122.8, 3, 8, 0, 11
aardy, 1554, 76.2, 2916, 3034, 622, 6572
aarobber, 1193, 113.3, 546, 725, 42, 1313
aaronCSB, 1537, 40.8, 1704, 1519, 96, 3319
aaronn, 1338, 22.3, 9749, 11446, 859, 22054
Aaronthechessman, 1249, 118.3, 13, 36, 0, 49
AartS, 1065, 190.3, 474, 698, 27, 1199
aasdfasdfg, 1556, 62.5, 94, 73, 7, 174
aatyler, 918, 80.1, 71, 100, 5, 176
aazzbyy, 1412, 79.7, 556, 407, 27, 990
ABAKUS, 2077, 28.7, 12921, 13035, 2888, 28844
ABarlow, 998, 148.5, 2, 12, 0, 14
Abatwa, 1030, 25.7, 1215, 2044, 59, 3318
AbbaMichael, 1247, 138.5, 33, 37, 5, 75
abcdfgh, 1555, 33.8, 8886, 12264, 1725, 22875
ABCyoulater, 1331, 70.7, 1264, 849, 45, 2158
AbdiAshirta, 1207, 44.1, 4109, 2217, 165, 6491
abdulsalim, 1340, 74.2, 170, 258, 9, 437
abednego, 1479, 25.2, 11059, 14937, 2041, 28037
abekunin, 1515, 46.1, 5836, 4275, 441, 10552
abelflores, 1189, 92.0, 30, 106, 2, 138
abemarcusd, 1190, 44.2, 644, 652, 75, 1371
Aberathy, 1007, 97.8, 145, 305, 19, 469
AbhijitMukherjee, 1433, 82.5, 86, 93, 13, 192
AbhijitMukherji, 1467, 42.9, 133, 115, 16, 264
abhishekNeo, 1195, 79.1, 128, 133, 15, 276
AbhishekOjha, 1076, 46.1, 103, 98, 6, 207
abhishekparab, 1475, 65.8, 5314, 4202, 407, 9923
abhisheks, 965, 208.2, 0, 7, 0, 7
abhyudaycooldude, 1168, 125.7, 570, 769, 71, 1410
abigsteak, 1039, 148.2, 5, 15, 0, 20
abile, 1697, 21.7, 14897, 15593, 1411, 31901
ablackie, 1250, 33.3, 1639, 1631, 113, 3383
ablaisdell, 1036, 70.6, 355, 439, 29, 823
Ablechess, 1231, 36.5, 614, 587, 19, 1220
ableton, 1086, 86.7, 41, 40, 2, 83
AbouTheCat, 1340, 89.3, 955, 1241, 208, 2404
AbrahamA, 1741, 43.5, 1961, 1017, 277, 3255
abrahams, 1209, 138.9, 14, 31, 2, 47
abrik, 1599, 33.6, 9959, 6600, 464, 17023
abris, 1465, 33.7, 1078, 1007, 136, 2221
abrivado, 1186, 31.6, 4062, 4328, 307, 8697
ABSBEGINNER, 1143, 29.9, 6854, 7869, 933, 15656
ABSBrakes, 1814, 125.9, 153, 123, 36, 312
abtahi, 1068, 107.9, 7, 17, 0, 24
abudum, 1016, 164.4, 10, 25, 0, 35
ABUFALIA, 1855, 24.9, 460, 485, 58, 1003
Abusio, 1044, 116.2, 686, 1352, 115, 2153
abutre, 1026, 30.4, 507, 533, 15, 1055
AbuTreika, 1005, 192.2, 5, 9, 0, 14
accolade, 853, 87.9, 5, 25, 0, 30
AceBonaventura, 2066, 28.4, 1707, 1082, 222, 3011
aceconquer, 1119, 103.2, 970, 1349, 103, 2422
acerbic, 1551, 29.3, 5756, 4049, 425, 10230
Acerook, 1791, 109.3, 196, 255, 21, 472
AcesFullofKings, 1220, 35.3, 1570, 1244, 148, 2962
Achimedes, 1108, 43.0, 5478, 5969, 259, 11706
achmatova, 1650, 133.6, 127, 139, 8, 274
Acholin, 1369, 105.3, 381, 423, 20, 824
Achsah, 1057, 136.8, 11, 28, 0, 39
Achse, 1322, 123.0, 307, 566, 28, 901
achtpuntzes, 1131, 31.3, 2636, 1560, 71, 4267
Acidicaxe, 826, 155.0, 2, 10, 0, 12
Acilegn, 933, 128.6, 14, 26, 0, 40
acimutal, 1461, 65.2, 476, 401, 25, 902
acmad, 1246, 82.8, 164, 348, 12, 524
acormack, 1511, 33.2, 4505, 4151, 391, 9047
acorte, 1187, 156.7, 46, 135, 8, 189
Acropora, 1353, 88.1, 3143, 2587, 162, 5892
actingstudentguy, 1591, 110.0, 1275, 617, 31, 1923
actionbunny, 1099, 101.7, 9, 12, 0, 21
acuarioperu, 876, 92.9, 38, 52, 3, 93
acuriel, 1177, 78.1, 2965, 3554, 183, 6702
acwizard, 1172, 25.7, 5955, 7369, 758, 14082
adal, 1419, 54.4, 4737, 5718, 797, 11252
adamex, 1211, 59.3, 33, 31, 1, 65
adamickgf, 1370, 91.5, 1482, 1779, 134, 3395
adammeier, 1193, 92.0, 26, 12, 3, 41
adamponting, 1463, 37.0, 1468, 871, 154, 2493
adamriese, 1111, 56.7, 2556, 3716, 234, 6506
AdamRou, 1222, 32.5, 883, 653, 53, 1589
ADAMSHABANA, 982, 246.2, 0, 3, 0, 3
adamslakers, 1024, 91.4, 907, 1454, 102, 2463
adamviva, 1412, 32.2, 2930, 3442, 194, 6566
adarknight, 1488, 110.8, 3330, 4396, 153, 7879
adarrain, 1246, 60.3, 688, 702, 65, 1455
adder, 1458, 27.3, 16411, 15841, 2252, 34504
addictinsane, 1547, 33.7, 6832, 4789, 319, 11940
adelaty, 862, 66.8, 9, 70, 1, 80
adelelzenyyy, 1489, 61.7, 193, 393, 27, 613
AdemarNeto, 1886, 58.9, 2747, 1709, 396, 4852
AdemptioSomnium, 1310, 74.7, 5435, 5482, 326, 11243
Adhi, 748, 117.8, 24, 44, 0, 68
adingod, 1580, 31.4, 4660, 5524, 324, 10508
AdisFKN, 1363, 52.0, 53, 61, 5, 119
aditikalpesh, 1034, 78.4, 35, 183, 0, 218
aDiTyAmIsHrA, 1028, 58.9, 63, 97, 7, 167
ADITYAREDDY, 1006, 35.3, 81, 192, 16, 289
adix, 753, 95.9, 125, 407, 24, 556
adjoube, 1222, 290.7, 0, 6, 0, 6
adlerSK, 2088, 38.4, 5238, 3914, 731, 9883
Adliya, 1443, 100.0, 162, 154, 16, 332
Admirn, 828, 115.8, 100, 496, 5, 601
adnad, 1175, 42.4, 2003, 3214, 169, 5386
adned, 1086, 131.7, 51, 121, 4, 176
Adorg, 1359, 48.7, 3246, 3231, 306, 6783
adracmante, 1028, 65.7, 1405, 1335, 71, 2811
AdrianJames, 1231, 53.7, 1266, 1219, 72, 2557
Adrianlaughs, 1402, 114.9, 107, 129, 10, 246
Adrianzolkos, 1694, 43.7, 934, 402, 57, 1393
adritouch, 1876, 22.3, 356, 142, 28, 526
adrotrico, 1621, 38.4, 3192, 1877, 187, 5256
adv, 1711, 59.1, 3486, 2807, 303, 6596
Advantage, 1821, 61.7, 109, 141, 11, 261
adwaith, 1321, 85.6, 365, 544, 40, 949
AEarete, 1308, 115.5, 310, 226, 15, 551
aegisword, 1346, 60.9, 3012, 2342, 148, 5502
Aekolov, 1702, 24.3, 2742, 3781, 542, 7065
aemramos, 1172, 55.5, 743, 975, 45, 1763
aep, 1875, 39.3, 6652, 2058, 375, 9085
