WhiteElo, BlackElo, ECO
1538,1661,C00
1634,1594,D17
1750,1708,B51
1203,1188,C30
1792,1842,A21
1662,1570,B10
1327,1343,B21
1412,1107,C41
1186,1323,A45
1440,1009,A09
1720,1968,C20
1823,1654,A35
1175,1255,B00
1567,1493,A48
1310,1378,C47
1814,1874,C38
1721,1543,B00
1557,1412,C11
1589,1434,D32
1414,1537,C31
885,872,D00
1344,1216,A52
1554,1186,C42
1636,1581,C50
1858,1460,C30
1396,1417,C41
1987,1697,C16
1760,1753,A21
1762,1912,C00
1262,877,B01
1326,957,D10
1109,979,C41
1582,1561,D31
1110,1226,B10
985,1025,B54
2033,1511,C01
1276,1460,B40
1672,1527,B21
1469,1532,A03
1907,1767,A40
1423,1374,D20
1775,1889,C40
1204,1277,C77
902,959,C40
1525,1569,C87
1548,1452,B54
1770,1957,A56
1487,1476,A40
1256,1065,C34
1449,1192,B01
1517,1560,E61
1664,1744,A41
1827,1837,B03
1624,1525,B28
1365,1263,C22
1542,1517,A43
901,1323,C41
1140,1224,C50
1419,1494,A40
1294,1379,C02
1124,1186,B28
1439,1466,C41
1366,1465,C20
1105,1322,A03
1432,1341,A00
2058,1735,E67
1433,1629,A43
1555,1613,C00
961,1324,B20
866,924,C00
1218,1135,A22
1569,1574,D00
1571,1646,B06
1521,1591,C02
1040,1189,C20
1719,1683,A40
1138,1295,E21
1489,1239,C41
1091,1116,B21
1151,1194,C62
1738,1670,C22
1532,1667,B20
964,1197,B10
1772,1902,C00
1680,1689,D66
831,804,C00
1470,1366,C65
1534,1630,B07
1679,1842,D12
1486,1495,C44
1724,1708,A13
1232,1774,A03
1820,1500,B00
1610,1647,A45
1601,1627,D03
1157,1171,A40
1338,1281,B06
1668,1533,C30
1884,1927,B01
1301,1554,D04
1973,1968,E46
1103,1057,C20
1975,1909,B01
1498,1362,E94
1890,2049,D30
1837,1827,A09
1582,1574,C05
1086,1035,D30
1655,1328,B06
1737,2056,A08
1795,1822,C21
1726,1529,A40
1282,1312,B30
1962,1763,B03
1353,1252,C84
1322,965,D06
1588,1761,E70
1833,1772,E70
2112,2010,A48
1250,1337,C17
1192,1049,B21
1525,1630,C60
1341,1351,B07
1615,1451,D07
1530,1525,B40
1636,1272,A04
1883,1781,E90
1457,1461,B12
1287,1601,B40
1246,1116,C20
1541,1607,B32
1660,1748,A10
1769,1833,B56
1656,1561,E61
1326,1311,C62
1897,1777,A40
1052,1280,B02
1542,1455,B53
1444,1606,A42
1699,1733,B20
1835,1799,D00
1424,1427,A06
1678,1521,B21
1742,1666,B01
1788,1771,B03
1483,1637,B21
1779,1958,A47
1468,1221,A22
1319,1043,C41
1493,1580,C25
969,1320,D20
